                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.7115,                 33.775,                 4.2663,                      0,                      0,                      0,                      0,                 5.1805,                 75.898,                  3.129,                0.00014,                0.00014,                0.00014
                      1,                 6.5812,                 16.612,                 3.9411,                      0,                      0,                      0,                      0,                 5.1814,                 75.678,                 3.1385,             0.00028812,             0.00028812,             0.00028812
                      2,                 5.6465,                 9.2974,                 3.7244,                      0,                      0,                      0,                      0,                 5.1833,                 75.386,                 3.1565,             0.00042357,             0.00042357,             0.00042357
                      3,                  5.459,                 9.8744,                 3.1651,                      0,                      0,                      0,                      0,                 5.1867,                 74.411,                 3.1866,             0.00054634,             0.00054634,             0.00054634
                      4,                 4.7272,                 8.2543,                 3.0102,                      0,                      0,                      0,                      0,                 5.1911,                  71.31,                  3.224,             0.00065645,             0.00065645,             0.00065645
                      5,                  4.689,                 6.9189,                 2.8234,                      0,                      0,                      0,                      0,                 5.1959,                 64.501,                 3.2657,             0.00075388,             0.00075388,             0.00075388
                      6,                 4.3609,                 5.3325,                 2.5158,                      0,                      0,                      0,                      0,                 5.2009,                 58.343,                 3.3141,             0.00083864,             0.00083864,             0.00083864
                      7,                 3.9433,                 5.3987,                 2.3167,                      0,                      0,                      0,                      0,                 5.2095,                 52.218,                 3.3953,             0.00091073,             0.00091073,             0.00091073
                      8,                 3.9539,                  4.886,                 2.2841,                      0,                      0,                      0,                      0,                 5.2177,                 55.101,                 3.4831,             0.00097014,             0.00097014,             0.00097014
                      9,                  3.541,                 4.5649,                 2.0579,                      0,                      0,                      0,                      0,                 5.2067,                 48.137,                 3.3975,              0.0010169,              0.0010169,              0.0010169
                     10,                 3.3721,                 4.4648,                 1.9239,                      0,                      0,                      0,                      0,                 5.2004,                 49.523,                 3.3488,               0.001051,               0.001051,               0.001051
                     11,                 3.1687,                 4.0474,                 1.7193,                      0,                      0,                      0,                      0,                 5.2333,                 62.788,                 3.6142,              0.0010724,              0.0010724,              0.0010724
                     12,                 3.1629,                 4.1799,                 1.8419,                      0,                      0,                      0,                      0,                 5.2329,                 53.315,                 3.5966,              0.0010496,              0.0010496,              0.0010496
                     13,                 2.8571,                 3.6719,                 1.6632,                      0,                      0,                      0,                      0,                 5.1901,                 47.325,                 3.3121,              0.0010496,              0.0010496,              0.0010496
                     14,                 3.0114,                 4.1449,                 1.6236,                0.00017,                0.02135,                  9e-05,                  3e-05,                  4.481,                 44.822,                 2.6881,              0.0009704,              0.0009704,              0.0009704
                     15,                 3.0566,                 4.1761,                 1.7498,                0.00085,                0.10676,                0.00064,                0.00026,                 4.0757,                 38.659,                 2.2628,              0.0008912,              0.0008912,              0.0008912
                     16,                 2.7394,                 3.5038,                 1.6658,                0.00275,                0.34875,                0.02979,                0.01296,                  3.158,                 14.001,                 1.9198,               0.000812,               0.000812,               0.000812
                     17,                 2.6587,                 3.4314,                 1.5958,                0.85892,                0.02135,                0.09858,                0.04658,                 2.7822,                 10.988,                 1.7627,              0.0007328,              0.0007328,              0.0007328
                     18,                 2.3909,                 3.0197,                 1.4895,                0.67715,                0.07829,                0.16455,                0.07843,                  2.638,                 10.015,                  1.685,              0.0006536,              0.0006536,              0.0006536
                     19,                 2.6001,                 3.9168,                 1.4814,                0.61193,                0.08419,                0.20815,                0.09316,                 2.5094,                 9.5796,                 1.6296,              0.0005744,              0.0005744,              0.0005744
                     20,                 2.4807,                 3.0814,                 1.4323,                0.52142,                0.14735,                 0.2634,                0.12134,                 2.4393,                 8.9562,                  1.581,              0.0004952,              0.0004952,              0.0004952
                     21,                 2.7624,                 4.2508,                 1.4988,                 0.4032,                0.29181,                0.30141,                 0.1478,                 2.3414,                  8.904,                 1.5174,               0.000416,               0.000416,               0.000416
                     22,                 2.3667,                 2.8555,                 1.4391,                0.40016,                0.37367,                0.32734,                 0.1622,                 2.2207,                   8.93,                 1.4716,              0.0003368,              0.0003368,              0.0003368
                     23,                 2.3796,                 2.8429,                 1.5867,                0.41848,                0.39502,                0.35342,                0.17443,                 2.1764,                 8.7829,                 1.4476,              0.0002576,              0.0002576,              0.0002576
                     24,                 2.2823,                 2.9384,                 1.4699,                0.46363,                0.39066,                0.36502,                0.17721,                 2.1514,                 8.6422,                 1.4471,              0.0001784,              0.0001784,              0.0001784
