                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.7884,                 12.012,                 4.3701,                      0,                      0,                      0,                      0,                 6.8946,                 8.3053,                 4.1609,                  4e-05,                  4e-05,                  4e-05
                      1,                  6.809,                 8.9402,                 4.5722,                      0,                      0,                      0,                      0,                 6.8949,                 8.3145,                 4.1631,              9.725e-05,              9.725e-05,              9.725e-05
                      2,                 4.8007,                 15.639,                 3.1498,                      0,                      0,                      0,                      0,                 6.8952,                 8.3237,                  4.166,              0.0001512,              0.0001512,              0.0001512
                      3,                 6.3176,                 6.2435,                  4.252,                      0,                      0,                      0,                      0,                 6.8958,                 8.3401,                 4.1711,             0.00020185,             0.00020185,             0.00020185
                      4,                 6.4306,                 5.5003,                 3.9908,                      0,                      0,                      0,                      0,                 6.8967,                 8.3574,                 4.1782,              0.0002492,              0.0002492,              0.0002492
                      5,                 6.3896,                 5.4674,                 3.7504,                      0,                      0,                      0,                      0,                 6.8974,                  8.369,                 4.1847,             0.00029325,             0.00029325,             0.00029325
                      6,                 5.6109,                  5.285,                 3.5412,                      0,                      0,                      0,                      0,                 6.8992,                 8.3974,                 4.1989,               0.000334,               0.000334,               0.000334
                      7,                  5.467,                 5.0254,                 3.3838,                      0,                      0,                      0,                      0,                 6.9003,                  8.413,                 4.2079,             0.00037145,             0.00037145,             0.00037145
                      8,                 5.6885,                 4.4188,                  3.432,                      0,                      0,                      0,                      0,                 6.9028,                 8.4444,                 4.2285,              0.0004056,              0.0004056,              0.0004056
                      9,                 5.2407,                 4.1129,                 3.3774,                      0,                      0,                      0,                      0,                 6.9043,                 8.4621,                 4.2401,             0.00043645,             0.00043645,             0.00043645
                     10,                 4.8712,                 4.1528,                 3.1536,                      0,                      0,                      0,                      0,                 6.9077,                 8.5086,                 4.2665,               0.000464,               0.000464,               0.000464
